eps = 0.010000, del = 0.000100, phi = 0.005000, lws_cm = 0, avg_diff = 0.465686, median_diff = 0.446505, avg_l1_diff = 0.004428
eps = 0.010000, del = 0.000100, phi = 0.001000, lws_cm = 0, avg_diff = 2.033745, median_diff = 2.034545, avg_l1_diff = 0.004388
eps = 0.001000, del = 0.000100, phi = 0.100000, lws_cm = 14014, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.001000, del = 0.000100, phi = 0.050000, lws_cm = 14014, avg_diff = 0.001999, median_diff = 0.001999, avg_l1_diff = 0.000123
eps = 0.001000, del = 0.000100, phi = 0.010000, lws_cm = 14014, avg_diff = 0.009492, median_diff = 0.006574, avg_l1_diff = 0.000172
eps = 0.001000, del = 0.000100, phi = 0.005000, lws_cm = 14014, avg_diff = 0.020275, median_diff = 0.019663, avg_l1_diff = 0.000187
eps = 0.001000, del = 0.000100, phi = 0.001000, lws_cm = 14014, avg_diff = 0.088978, median_diff = 0.077897, avg_l1_diff = 0.000191
eps = 0.000100, del = 0.000100, phi = 0.100000, lws_cm = 140014, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000100, del = 0.000100, phi = 0.050000, lws_cm = 140014, avg_diff = 0.000042, median_diff = 0.000042, avg_l1_diff = 0.000003
eps = 0.000100, del = 0.000100, phi = 0.010000, lws_cm = 140014, avg_diff = 0.000223, median_diff = 0.000109, avg_l1_diff = 0.000004
eps = 0.000100, del = 0.000100, phi = 0.005000, lws_cm = 140014, avg_diff = 0.000241, median_diff = 0.000194, avg_l1_diff = 0.000003
eps = 0.000100, del = 0.000100, phi = 0.001000, lws_cm = 140014, avg_diff = 0.001345, median_diff = 0.000903, avg_l1_diff = 0.000003
eps = 0.000010, del = 0.000100, phi = 0.100000, lws_cm = 1400105, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.000100, phi = 0.050000, lws_cm = 1400105, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.000100, phi = 0.010000, lws_cm = 1400105, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.000100, phi = 0.005000, lws_cm = 1400105, avg_diff = 0.000000, median_diff = 0.000000, avg_l1_diff = 0.000000
eps = 0.000010, del = 0.000100, phi = 0.001000, lws_cm = 1400105, avg_diff = 0.000001, median_diff = 0.000000, avg_l1_diff = 0.000000
